scorer,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Centro,Centro,Centro,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
72,852.4706420898438,650.1053466796875,0.9921995997428894,821.29638671875,693.40673828125,0.9999983310699463,860.0991821289062,703.2500610351562,0.9997387528419495,830.31640625,756.8192749023438,0.9999945163726807,810.8465576171875,824.1978759765625,0.9999748468399048
73,851.21142578125,650.1053466796875,0.9998377561569214,821.1959228515625,693.40673828125,0.9999983310699463,860.1383666992188,703.2500610351562,0.9999692440032959,830.31640625,756.8067626953125,0.9999780654907227,810.8465576171875,824.1978759765625,0.9999817609786987
74,851.21142578125,649.9810180664062,0.9998328685760498,821.0923461914062,693.3827514648438,0.9999991655349731,860.1383666992188,702.7189331054688,0.9998314380645752,829.4341430664062,756.8067626953125,0.9999895095825195,810.85205078125,824.1978759765625,0.9999862909317017
75,851.21142578125,649.9810180664062,0.9998589754104614,821.0923461914062,692.9293212890625,0.9999983310699463,860.1383666992188,702.1072387695312,0.99959796667099,829.4341430664062,756.93115234375,0.9999768733978271,811.06396484375,823.3779907226562,0.9998927116394043
76,851.21142578125,649.9810180664062,0.9999059438705444,821.1959228515625,692.838623046875,0.9999991655349731,860.1383666992188,702.1072387695312,0.9999772310256958,829.4341430664062,756.3284301757812,0.9999828338623047,811.8204345703125,822.814453125,0.9998193383216858
77,851.1371459960938,650.1830444335938,0.9997891783714294,821.8790893554688,692.838623046875,0.9999990463256836,860.624755859375,702.1072387695312,0.9996769428253174,830.3096923828125,756.93115234375,0.9999768733978271,811.8204345703125,822.814453125,0.999971866607666
78,851.2612915039062,650.1830444335938,0.999778687953949,821.8790893554688,692.838623046875,0.9999980926513672,860.624755859375,702.2724609375,0.9999266862869263,830.3096923828125,757.156005859375,0.9999935626983643,811.8204345703125,823.3779907226562,0.9999735355377197
79,851.2612915039062,650.93505859375,0.9995916485786438,821.8790893554688,693.3858032226562,0.9999988079071045,859.9526977539062,701.5421752929688,0.9998955726623535,830.3096923828125,757.167724609375,0.9999899864196777,810.8397216796875,822.814453125,0.9999375343322754
80,851.2612915039062,650.93505859375,0.9995556473731995,821.3989868164062,693.5510864257812,0.9999992847442627,859.9526977539062,702.2724609375,0.9999192953109741,830.3096923828125,757.156005859375,0.9999873638153076,810.366943359375,822.4224243164062,0.999942421913147
81,851.9113159179688,651.2532958984375,0.9996780157089233,821.221923828125,694.09228515625,0.9999988079071045,860.7005004882812,702.2724609375,0.9999405145645142,829.3132934570312,757.2537841796875,0.9999878406524658,810.1920166015625,822.4224243164062,0.9999854564666748
